sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20,sim_21,sim_22,sim_23,sim_24,sim_25,sim_26,sim_27,sim_28,sim_29,sim_30,sim_31,sim_32,sim_33,sim_34,sim_35,sim_36,sim_37,sim_38,sim_39,sim_40,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50,sim_51,sim_52,sim_53,sim_54,sim_55,sim_56,sim_57,sim_58,sim_59,sim_60,sim_61,sim_62,sim_63,sim_64,sim_65,sim_66,sim_67,sim_68,sim_69,sim_70,sim_71,sim_72,sim_73,sim_74,sim_75,sim_76,sim_77,sim_78,sim_79,sim_80,sim_81,sim_82,sim_83,sim_84,sim_85,sim_86,sim_87,sim_88,sim_89,sim_90,sim_91,sim_92,sim_93,sim_94,sim_95,sim_96,sim_97,sim_98,sim_99,sim_100,Date,Commune
4.4127765,2.9428697,4.580734,3.5612528,3.4012086,3.2169943,4.502127,3.9721107,2.8640866,4.7189484,2.6025267,3.2548528,4.8051915,3.2669044,3.9901464,3.2983563,4.3406277,3.2510514,4.0469136,4.1002393,2.459374,2.0199487,4.42684,2.7059565,2.448964,5.046862,2.3727293,4.0334716,3.4683855,2.9122488,3.566297,3.7814922,4.557014,3.9576483,4.088307,3.8105466,3.5110838,4.841849,4.846704,3.6412864,4.2461805,5.0649314,3.9205952,4.7602744,4.7649226,2.7831933,4.624973,3.1629436,3.5989974,3.9550407,5.6242847,3.9478106,2.7234044,5.142029,2.6660082,4.453504,3.8223183,3.3504157,4.988285,4.0429177,1.8012938,4.4228725,5.1723623,3.6833813,3.4741368,3.5617008,4.15835,3.5375304,5.964571,3.9658182,4.405352,2.713492,5.3802032,3.6927423,4.73599,3.2359312,2.898255,3.343872,6.1664925,3.942378,2.903877,5.0633855,2.440064,2.9928133,3.5124536,3.2814598,5.2628446,4.561574,3.7789571,4.0976315,4.5524254,3.2172558,3.946705,3.9338481,4.6835732,3.1520832,4.526528,3.557744,3.2405767,3.8974113,2020-04-17,Cerrillos
5.1632266,3.2657416,3.1806195,3.5924768,3.0413277,5.130775,5.158534,3.6712704,4.6105647,5.29873,3.9801822,4.165096,4.762061,4.4443965,3.10078,4.119963,3.96421,2.124321,5.0858755,3.9692855,3.5883725,3.7084658,2.9694223,5.159658,2.9301243,3.984302,4.956781,3.8448808,3.3407102,2.8454916,4.2437854,4.357252,4.6490965,3.816536,4.2867246,3.1022482,3.9546003,4.0859165,5.2739587,3.7978475,2.4167378,3.7344384,5.2724905,3.044909,3.9802105,3.6186593,4.578121,3.6791735,3.0515769,2.6423662,3.7079375,2.4841528,4.721178,3.63206,3.973307,3.8265548,5.369022,5.391193,5.1769843,4.10663,5.3064957,4.4340334,3.6711407,5.7389555,4.601631,3.8990426,4.0926414,3.5358238,3.572719,3.6909738,4.1779914,4.634707,4.0023146,3.4734325,5.3381314,4.120207,3.2372699,5.3116436,5.7675176,3.205989,3.3270247,4.0274353,2.9208977,3.487817,3.818952,4.5546937,5.5315933,4.3815107,4.287548,3.9491522,3.4107535,3.5612605,5.486264,3.9870236,3.1567986,3.57434,3.568822,3.0859888,3.2064912,3.507461,2020-04-18,Cerrillos
2.843029,3.7259216,3.6731217,3.8156376,3.7950847,2.8454008,3.7322063,5.8758907,3.644733,5.8794775,4.033254,2.9500659,3.0798957,3.8656821,3.5731697,4.1006536,3.67741,4.3806148,2.212421,5.2735157,3.7258594,3.103745,3.6117585,3.6866078,6.0968995,3.548168,3.3074014,4.0220413,4.3700833,3.5536423,3.297577,4.7187285,4.3757024,3.0300012,4.295055,4.1241713,4.42396,4.1248627,3.5193055,4.0213165,2.65485,2.8333364,3.034033,4.1081214,4.167227,4.6841583,4.1260176,4.7853303,3.4957721,3.5666027,2.389693,5.0438194,4.481898,3.2838137,4.1875725,3.4981623,3.6246877,3.6086483,5.441764,2.6781738,3.1590283,5.1329346,4.2059193,3.1107936,4.5757957,3.0697165,4.0614767,5.920122,4.781412,4.815291,5.6044464,3.88095,3.1381516,4.222368,3.8065405,2.2966523,3.4461107,4.4587684,3.4667335,4.695565,4.740765,2.6903548,3.3390555,5.207354,4.3754044,4.136469,5.0862455,4.2829595,2.5693707,3.0705216,4.5768056,3.7024634,4.0039253,2.1563194,3.331924,3.1188962,4.576751,2.9992588,3.9574177,4.0691886,2020-04-19,Cerrillos
5.0092754,2.906288,4.7742577,3.7669213,3.9078367,4.0458236,4.497507,3.8585532,3.7744074,3.8085966,4.769454,3.3051097,3.8951843,4.150175,3.2293773,4.650573,4.165883,3.1452625,4.2594624,5.223629,3.6195657,3.2251484,4.033008,3.3484554,4.0907226,3.6834564,3.8769982,3.632785,3.3237126,3.2680073,3.79032,3.6521053,4.4630513,5.2157855,3.7609913,4.2800827,3.6884594,4.8512225,5.097155,3.5929844,4.757967,4.0553474,3.3026705,2.813299,4.1222057,3.5687702,3.8113778,3.8938637,3.1515627,3.7782218,4.434352,6.264171,3.9434786,2.8114734,4.586459,3.0068874,3.081421,3.262857,4.3913455,3.9514232,3.158192,4.378678,4.8303022,4.7352905,4.427425,4.5369687,3.8045259,4.3185444,2.461272,4.385097,3.2612953,4.3056927,3.832003,3.7110631,4.522351,4.086885,3.5767767,2.5718904,4.5017905,3.6586723,5.0971165,5.5053673,3.4335256,4.0479336,4.153249,3.3299222,3.1830199,2.6251278,4.1971617,3.9524539,3.3098097,3.838894,5.6985774,3.1142325,3.1346428,4.352381,2.9861429,2.7148333,4.4417167,4.590807,2020-04-20,Cerrillos
3.7067387,4.3862004,5.097919,1.7566897,3.4404397,5.294457,4.0070534,3.7877667,3.5208592,5.882419,3.4856472,3.5300233,3.7802572,4.0755095,2.5157137,3.044461,4.052445,5.139147,3.7132926,5.1780486,4.5330715,4.0988483,4.105866,4.186068,3.0811076,4.5069847,3.6738312,3.4116755,4.436149,3.1536992,5.5078454,3.087874,3.8535554,5.7966886,3.890316,2.5236092,3.4288697,3.982479,4.9828806,3.1375432,2.76241,4.4921885,2.9461973,5.169371,3.859615,4.6848264,4.417375,2.1463888,4.972036,3.4444196,3.4312418,3.4926777,4.901661,2.675139,4.0365686,3.0598426,5.658018,3.6588821,5.175252,4.28457,4.9666367,3.0787175,2.9860754,3.0321014,3.424931,2.4987965,5.3789654,3.622593,3.6486561,4.0921626,4.9155793,3.5159314,4.1432843,3.1742053,4.692339,4.493988,3.1353161,2.6286004,4.8956428,4.487025,2.9474816,3.4745796,4.2470093,4.346045,3.7383332,5.2346087,3.1888747,2.5754743,5.0036716,3.8222148,3.5918787,4.445629,5.1892276,2.6582475,2.1119874,3.8869004,5.4308877,3.5494497,3.7394311,3.767004,2020-04-21,Cerrillos
4.276268,3.6246696,4.5911927,2.781896,4.2146587,3.7215765,5.251834,5.088211,4.8825946,3.571212,3.7150354,2.6274092,2.964075,4.1571693,3.835064,5.2652526,4.8065615,5.146084,5.0481596,3.9849494,4.611764,2.6679142,3.6516135,3.8755352,4.8821545,3.9110243,3.6347582,3.8969193,3.8455358,2.709077,2.7158637,3.6955054,3.4259202,3.6947699,3.076356,4.445044,3.2005458,4.5696406,4.197599,5.0410514,4.3852057,3.4017732,3.5712974,3.4826252,4.2368355,2.7617419,4.9992332,4.714132,4.45281,3.7596343,3.4552076,5.2831926,2.9181323,3.7534997,3.6844301,5.0221324,6.046736,4.6306696,3.9793043,3.6560776,4.029732,4.36471,4.2130327,4.6906686,3.6716871,2.8388107,4.5833983,2.3669338,2.63814,5.1378546,4.9799857,3.7577698,2.2609093,3.4929883,4.8238983,2.4920921,2.8433087,5.456309,4.0420194,5.187006,2.7550635,3.2440777,3.4068046,3.991928,3.786182,3.7450633,5.7099323,4.6871467,3.8082263,5.994322,4.226252,4.3759794,3.2955596,3.0001442,3.5776443,4.5812387,4.0995917,3.2283413,3.9446568,3.9931064,2020-04-22,Cerrillos
4.469217,3.6282976,4.3277655,4.456272,4.369293,3.0686133,3.1365385,3.5285473,5.352338,4.7841234,4.190737,4.4263763,3.250176,4.905452,3.1482456,2.202102,3.2295067,4.639754,3.9447837,4.2565956,2.7404537,4.858357,4.284192,3.7652225,4.620558,4.2042465,3.71459,4.23444,3.7369218,4.216223,3.5906177,3.456119,4.417194,2.3250902,4.857375,2.749201,3.206789,4.4793677,2.6241152,3.9106696,4.447455,3.1537845,6.6107936,3.5110552,4.381912,3.069403,3.8243823,2.8758767,4.291738,3.1255434,3.2499766,3.008661,3.7833102,4.883809,5.0809836,4.3377094,4.0431795,3.9268591,3.5245543,2.5413213,4.6127973,4.222725,4.038197,4.1565194,3.888708,3.9162033,3.3899677,2.426003,4.841349,3.0760038,4.9377947,3.758311,4.910509,3.6775732,5.556036,3.3030121,5.202413,3.7576222,3.620402,3.2737405,3.367781,3.5822976,3.2793028,2.4257286,3.1497319,3.151744,4.7534275,2.754771,5.5304747,3.2287116,3.452209,4.0263424,3.4289527,3.9410055,3.0934103,3.0799372,4.329278,3.3032453,5.010099,3.769205,2020-04-23,Cerrillos
4.226723,5.1450505,3.8538663,3.7699795,2.0563312,3.7359586,4.454514,3.3078856,4.2590947,3.4816825,2.4827363,2.3582876,2.7033255,4.096176,4.2640977,3.7443693,2.6762524,3.4676008,3.761644,3.00002,4.3862443,4.908588,3.305032,3.6756387,4.293807,3.1339386,4.7585807,2.7929065,3.684689,6.2411036,5.3345995,4.6350536,3.3000188,2.321211,3.2373502,3.3022923,2.7304323,3.2473898,3.2394762,3.6465223,5.258437,3.386464,4.8638387,3.5812619,4.113394,3.9344645,5.2054353,5.5116205,3.5356684,3.7389443,4.7599635,4.6018615,5.7021637,4.2475224,4.2603426,3.4475503,3.6933613,4.962882,3.7676127,3.5172675,5.075828,3.740648,5.4245224,3.7814198,4.945737,5.3286905,4.282693,4.332929,4.8869476,4.8747015,4.3265433,4.3563924,2.266407,3.5341175,3.0981905,4.2400074,3.9847991,4.695661,3.0700867,3.3369346,2.2973177,4.734009,4.272832,6.1447096,3.8272462,5.752501,4.454247,2.5803113,4.1833725,3.5170915,4.648483,2.7014947,3.978025,3.880274,4.778823,3.1178138,4.695221,5.578712,3.635561,3.549732,2020-04-24,Cerrillos
4.0095444,3.429631,4.386027,4.1459436,4.2670264,3.7713234,4.2616425,5.2114816,2.9895947,4.49694,3.1273663,3.4389403,4.590367,5.0840187,4.0315394,2.6723862,4.14315,2.7138233,3.5520756,4.315455,2.7234251,3.7671077,3.7688684,3.4806156,4.615185,4.445223,3.1078882,5.4499984,3.26165,3.9240727,3.5007725,3.681939,2.577341,4.804684,3.0283906,3.4930894,5.690076,3.574713,2.7064898,5.2645016,2.8164685,3.9448924,3.8153965,4.410829,3.2577841,2.957086,2.4770758,3.7067232,4.390198,4.8565493,5.047621,4.2804556,4.584973,3.9702954,4.511506,3.4893603,4.7497506,4.1788564,3.671493,4.035074,3.0233903,3.5674467,4.064121,4.8241105,4.3346357,5.3046546,3.3567598,4.6366696,4.311511,3.494423,4.303844,3.3881342,4.871014,4.0629764,3.0322464,4.4480114,4.0074186,4.715129,4.297942,3.210492,4.5314684,2.6404655,4.7697287,4.106718,5.354355,4.3039446,4.223611,3.3136551,3.9364765,3.2071412,4.3421035,4.627847,3.3864071,5.5718966,3.7915266,4.26475,3.4941716,4.2688646,4.77917,5.170099,2020-04-25,Cerrillos
5.028127,3.8426511,4.775933,2.7658074,3.8392718,6.013352,3.1726878,4.0707498,3.8639705,4.2396784,5.4940615,4.593355,3.1359973,4.142546,2.998821,4.1146603,4.660107,5.9582267,5.251396,4.0585065,4.694146,2.7050915,4.0641365,4.772481,2.9339151,3.6529367,3.9283273,4.928954,4.360002,4.7718596,3.1911018,5.7126513,3.4890678,5.0117354,4.698678,4.6185665,3.7165554,4.7313495,3.6672955,4.854734,4.1586323,5.6686687,4.0811987,3.3355157,3.6170177,4.161105,3.763195,5.162838,3.433031,4.3518944,3.5812669,3.5988936,3.721504,5.4110155,4.7494683,4.4145293,4.4981756,2.6969528,3.9203775,4.755473,3.6390388,3.510211,4.364876,3.0393777,4.2076306,4.1682806,4.5651994,3.6874778,3.9073732,4.008519,4.169951,3.013405,2.6433942,3.3893151,4.464069,2.4723759,4.074795,3.1673121,5.3131843,3.4355896,3.60537,3.7732317,3.709095,3.9482458,4.0667877,3.9262557,4.3918843,5.331919,4.444974,3.764197,3.2697735,5.163568,4.2212386,4.505716,4.6432624,3.8841946,2.9384286,4.087447,2.1692073,3.622137,2020-04-26,Cerrillos
3.8410742,3.018957,4.09375,2.520046,3.2816281,4.4807353,4.2710786,3.3698783,4.2149773,4.3578477,2.779234,3.9849882,3.7958875,3.0050642,3.9552944,3.1484294,3.459278,4.099369,3.664755,2.7609055,5.950606,4.4514194,4.1872516,3.0157847,2.8599331,2.4318397,3.3188703,5.5272794,3.5925727,4.294944,3.3118477,4.559298,4.2353387,4.649156,3.1790814,2.904667,3.2338908,3.9502397,3.6419752,3.8202312,5.612562,4.544745,4.8098865,4.2369623,2.4999876,2.4966083,4.694685,3.703046,4.4734845,4.687318,3.4445853,3.8033762,3.2520974,5.731223,3.4196484,5.047867,4.361473,4.4879937,2.232653,5.257194,3.0879776,3.0014753,2.9130697,4.5472646,4.7500277,3.525383,3.513839,4.3298216,3.0666633,3.5976534,2.6441426,2.7029707,3.4486406,3.6012502,3.7349565,4.0502667,4.3414044,3.2002065,4.813789,4.3420362,5.287385,4.2721663,2.901311,4.563322,3.5398636,4.6240435,4.3821425,4.161794,3.3427482,3.6420088,3.7342598,4.409361,4.339506,4.300501,2.8241618,5.2632327,2.347044,2.78143,4.6432934,5.4727654,2020-04-27,Cerrillos
4.2042284,5.6235495,4.910916,6.8753786,5.895856,6.3251224,6.1317983,4.932805,6.774867,7.6470313,4.5679054,6.435723,3.9676723,5.7935085,5.19566,6.375242,4.817406,5.4583807,4.391576,6.819849,6.8755364,4.9187646,4.6505365,5.697223,5.6712737,5.630888,5.5381293,4.6198535,6.017902,5.676023,5.045192,4.359065,5.8753185,5.460323,6.181496,5.727238,4.9049935,6.0558248,3.8073745,4.2714696,5.1362076,5.402864,4.821399,6.410418,5.795075,4.7923737,5.909091,5.329037,7.5275416,5.749021,4.950579,5.831007,5.1347136,5.0230308,5.1555614,6.8529277,6.4346194,5.400062,5.106395,5.1281233,5.226858,6.801821,7.099606,6.825779,7.578464,4.8055778,4.7834167,5.9462504,5.5429277,4.676413,4.541793,7.311782,6.202067,5.376894,5.3716836,5.7975173,4.8442855,4.867402,6.187514,5.692549,6.4076576,5.154505,4.755608,4.7222476,5.544611,5.8552604,5.290094,5.725894,6.906828,6.7371483,4.1412644,5.919304,4.9003377,5.5842767,5.3715286,6.8076086,4.9660153,6.1515613,4.140555,7.714353,2020-04-28,Cerrillos
